CPU Family,CPU Family_mean_encoded
alder lake,1413.2805298859616
amber lake,1194.7222222222222
barcelo_r,720.087025862069
broadwell,217.9725806451613
cezanne,1028.870518384569
coffee lake,1211.0445257452575
coffee lake refresh,1411.4891073326248
comet lake,1201.742674043338
dali,317.95209370424595
dragon_range,2751.261153846154
ice lake,742.6465245148111
kaby lake,581.7970087124879
kaby lake refresh,761.8678516228748
lucienne,608.8114411764707
mendocino,505.4384659090909
phoenix,1673.2099999999998
picasso,594.3479056386651
raptor lake,1724.813247033441
raven ridge,531.7238518518518
rembrandt,1607.58309352518
rembrandt_r,1065.0732926829269
renoir,840.0414557425017
sky lake,436.3502875629044
tiger lake,1030.9453731690305
unknown,731.0127428571429
whsikey lake,741.6496869983948
