Screen_Resolution,Screen_Resolution_mean_encoded
0x0,1046.7857334826429
1080x1920,1068.9124193548387
1280x1024,630.0
1280x720,415.59391304347827
1280x800,25.0
1336x768,350.0
1365x768,449.40940594059407
1366x398,530.2062790697674
1366x768,443.2696093399192
1440x900,699.0
1536x1024,542.1846190476191
1600x2560,498.0
1600x768,306.6716666666667
1600x900,603.0972285714286
1900x1080,1679.9914285714287
1900x1200,1241.5794285714285
1920x1080,913.6206317957167
1920x1200,1277.8429552659386
1920x1280,882.7098479087452
2048x1536,1912.392857142857
2160x1350,1653.5020754716982
2160x1440,395.3333333333333
2240x1400,819.0220179372197
2256x1504,1073.242823529412
2400x1600,2078.4191970802917
2496x1664,1355.530184804928
2560x1440,1993.913804769828
2560x1600,1695.5374207858047
2560x1920,3128.5333333333333
2736x1824,999.8824660633484
2880x1620,1076.683888888889
2880x1800,1204.7418818040435
2880x1920,1313.0634525939176
3000x2000,1550.1020172910664
3072x1920,1322.44099009901
3200x1800,1328.7007142857144
3200x2000,1708.2732258064516
3240x2160,2235.8357558139537
3300x2200,1611.4113636363638
3456x2160,1721.6598214285714
3456x2234,2134.3325
3840x2160,1977.2478741573032
3840x2400,2116.088872604284
3840x2560,1138.4661764705882
960x540,2321.872727272727
